sim_time_s,robot_obstacle_center_distance_m,estimated_clearance_m,encounter_id
24.9,1.534517264696098,1.2295172646960981,
24.92,1.5185171552301633,1.2135171552301633,
24.94,1.502517324189853,1.1975173241898531,
24.96,1.4865177805654959,1.181517780565496,2
24.98,1.4705185337385278,1.1655185337385279,2
25.0,1.4545195935029558,1.1495195935029558,2
25.02,1.4385209700883637,1.1335209700883637,2
25.04,1.4225226741842643,1.1175226741842643,2
25.06,1.4065247169663002,1.1015247169663003,2
25.08,1.3905271101241905,1.0855271101241906,2
25.1,1.37452986589158,1.0695298658915802,2
25.12,1.3585329970780766,1.0535329970780767,2
25.14,1.3425365171034862,1.0375365171034863,2
25.16,1.326540440034596,1.021540440034596,2
25.18,1.3105447806245898,1.0055447806245899,2
25.2,1.2945495543554952,0.9895495543554953,2
25.22,1.278554777483571,0.9735547774835711,2
25.24,1.2625604670884232,0.9575604670884232,2
25.26,1.2465666411256964,0.9415666411256964,2
25.28,1.2305733184839867,0.9255733184839867,2
25.3,1.2145805190461376,0.9095805190461377,2
25.32,1.1985882637555298,0.8935882637555299,2
25.34,1.1825965746876677,0.8775965746876677,2
25.36,1.1666054751276989,0.8616054751276989,2
25.38,1.1506149896543214,0.8456149896543215,2
25.4,1.1346251442308855,0.8296251442308855,2
25.42,1.118635966304101,0.8136359663041011,2
25.44,1.102647484911506,0.797647484911506,2
25.46,1.0866597307983052,0.7816597307983053,2
25.48,1.0706727365446609,0.765672736544661,2
25.5,1.0546865367045448,0.7496865367045449,2
25.52,1.0387011679573808,0.7337011679573808,2
25.54,1.0227166692738705,0.7177166692738706,2
25.56,1.0067330820975444,0.7017330820975445,2
25.58,0.990750450543956,0.685750450543956,2
25.6,0.9747688216192029,0.6697688216192028,2
25.62,0.9587882454604582,0.6537882454604582,2
25.64,0.9428087756007614,0.6378087756007613,2
25.66,0.9268304692611707,0.6218304692611707,2
25.68,0.9108533876735382,0.6058533876735381,2
25.7,0.8948775964377726,0.5898775964377727,2
25.72,0.8789031659179022,0.5739031659179021,2
25.74,0.8629301716820552,0.5579301716820553,2
25.76,0.8469586949918763,0.5419586949918762,2
25.78,0.8309888233483468,0.5259888233483467,2
25.8,0.8150206511014381,0.510020651101438,2
25.82,0.7990542801325592,0.49405428013255914,2
25.84,0.7830898206201652,0.47808982062016514,2
25.86,0.7671273919005159,0.462127391900516,2
25.88,0.7511671234376779,0.44616712343767784,2
25.9,0.7352091559193362,0.4302091559193362,2
25.92,0.7192536424975683,0.41425364249756824,2
25.94,0.7033007501978283,0.3983007501978284,2
25.96,0.6873506615229579,0.3823506615229579,2
25.98,0.6714035773400511,0.3664035773400511,2
26.0,0.6554597297728016,0.35045972977280165,2
26.02,0.6395193811692357,0.3345193811692357,2
26.04,0.6235828210566124,0.31858282105661245,2
26.06,0.6076503626819926,0.3026503626819926,2
26.08,0.5917223311739731,0.2867223311739731,2
26.1,0.5757991151504578,0.2707991151504578,2
26.12,0.5598811643801712,0.2548811643801712,2
26.14,0.5439689668208747,0.2389689668208747,2
26.16,0.5280630694742695,0.22306306947426952,2
26.18,0.5121640874932157,0.20716408749321574,2
26.2,0.49627271502084763,0.19127271502084764,2
26.22,0.48038973815639124,0.17538973815639125,2
26.24,0.4645160505481799,0.1595160505481799,2
26.26,0.4486526722535008,0.1436526722535008,2
26.28,0.43280077268737877,0.12780077268737877,2
26.3,0.4169616987265779,0.1119616987265779,2
26.32,0.4011370093627309,0.09613700936273088,2
26.34,0.3853285187428361,0.08032851874283607,2
26.36,0.36953835004471797,0.06453835004471796,2
26.38,0.35376900347832496,0.048769003478324954,2
26.4,0.33802344288611,0.03302344288611002,2
26.42,0.3223052070907886,0.017305207090788574,2
26.44,0.3066185545453793,0.0016185545453792777,2
26.46,0.2909686533433021,-0.014031346656697932,2
26.48,0.27536183381973817,-0.02963816618026184,2
